day,hr_min,hr_max,rhr,stress_avg,step_goal,steps,moderate_activity_time,vigorous_activity_time,intensity_time_goal,floors_up,floors_down,floors_goal,distance,calories_goal,calories_total,calories_bmr,calories_active,calories_consumed,hydration_goal,hydration_intake,sweat_loss,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_charged,bb_max,bb_min,description
2020-04-04,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-05,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-06,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-07,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-08,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-09,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-10,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-11,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-12,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-13,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-14,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-15,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-16,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-17,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-18,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-19,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-20,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-21,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-22,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-23,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-24,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-25,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-26,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-27,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-28,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-29,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-30,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-01,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-02,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-03,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-04,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-05,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-06,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-07,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-08,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-09,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-10,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-05-11,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
