day,hr_avg,hr_min,hr_max,rhr_avg,rhr_min,rhr_max,inactive_hr_avg,inactive_hr_min,inactive_hr_max,weight_avg,weight_min,weight_max,intensity_time,moderate_activity_time,vigorous_activity_time,intensity_time_goal,steps,steps_goal,floors,floors_goal,sleep_avg,sleep_min,sleep_max,rem_sleep_avg,rem_sleep_min,rem_sleep_max,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_goal,calories_consumed_avg,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,hydration_intake,sweat_loss_avg,sweat_loss,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2022-03-13,101.05513784461152,65.0,137.0,70.0,70.0,70.0,103.58333333333333,84.0,113.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,9052.0,10000,10.01017,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,77.0,2923,2023,900,,,,,,2800,,,,,,,,,,,
2022-03-14,86.80784844384303,55.0,130.0,75.0,75.0,75.0,86.65,71.0,113.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,5516.0,10000,3.30249,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,50.0,2517,2023,494,,,,,,2800,,,,,,,,,,,
2022-03-15,85.62406015037594,55.0,133.0,62.0,62.0,62.0,82.20833333333333,58.0,123.0,,,,00:12:00.000000,00:12:00.000000,00:00:00.000000,00:21:25,8729.0,10000,3.39797,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,46.0,2595,2023,572,,,,,,2800,,,,,,,,,,,
2022-03-16,87.29262086513995,46.0,145.0,55.0,55.0,55.0,89.61904761904762,67.0,114.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,11293.0,10000,20.63025,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,2706,2023,683,,,,,,2800,,,,,,,,,,,
2022-03-17,87.09897172236504,57.0,142.0,61.0,61.0,61.0,84.81481481481481,58.0,139.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6304.0,10000,7.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,65.0,2458,2023,435,,,,,,2800,,,,,,,,,,,
2022-03-18,90.04233870967742,54.0,140.0,70.0,70.0,70.0,86.75,71.0,102.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,8391.0,10000,4.75787,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,62.0,2550,2023,527,,,,,,2800,,,,,,,,,,,
2022-03-19,80.37614678899082,56.0,116.0,64.0,64.0,64.0,75.4,67.0,87.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,668.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,41.0,2083,2023,60,,,,,,2800,,,,,,,,,,,
2022-03-20,79.72509960159363,56.0,128.0,69.0,69.0,69.0,79.71428571428571,67.0,107.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,970.0,10000,0.65092,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,51.0,2170,2023,147,,,,,,2800,,,,,,,,,,,
2022-03-21,88.09514170040485,60.0,152.0,74.0,74.0,74.0,80.5,67.0,112.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,5481.0,10000,5.15387,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,60.0,2409,2023,386,,,,,,2800,,,,,,,,,,,
2022-03-22,85.50638297872341,54.0,133.0,61.0,61.0,61.0,88.0,68.0,111.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6575.0,10000,2.13156,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,41.0,1298,900,398,,,,,,2800,,,,,,,,,,,
